Verse Text,Bible Version,Verse Reference
"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.",NIV,John 3:16
"I can do all this through him who gives me strength.",NIV,Philippians 4:13
"Trust in the Lord with all your heart and lean not on your own understanding; in all your ways submit to him, and he will make your paths straight.",NIV,Proverbs 3:5-6
"For I know the plans I have for you, declares the Lord, plans to prosper you and not to harm you, plans to give you hope and a future.",NIV,Jeremiah 29:11
"The Lord is my shepherd, I lack nothing.",NIV,Psalm 23:1
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",NIV,Joshua 1:9
"And we know that in all things God works for the good of those who love him, who have been called according to his purpose.",NIV,Romans 8:28
"Therefore, if anyone is in Christ, the new creation has come: The old has gone, the new is here!",NIV,2 Corinthians 5:17
"But the fruit of the Spirit is love, joy, peace, forbearance, kindness, goodness, faithfulness, gentleness and self-control.",NIV,Galatians 5:22-23
"Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God.",NIV,Philippians 4:6
